Symbols,Cluster
Set,2
Mrpl4,2
Psenen,4
Acaa2,2
Polr2d,2
Snrnp200,3
Vcp,3
Aes,4
Pbk,3
l7Rn6,2
Bysl,3
Tmem2,1
Sf3b4,3
E430025E21Rik,1
Adap2,7
Ptgs1,6
Txndc5,2
Eif3f,4
Sepw1,1
Tceal8,2
Isoc1,2
Metrn,4
Otud1,7
Prr12,5
Pfkfb4,6
Sowahc,6
Pip5k1c,7
Extl3,6
Leng8,6
Polr2m,3
Hnrnpf,2
Lrrc59,2
Esyt1,5
Nr3c1,7
Pbxip1,7
Csf1r,6
Maml3,7
Zcchc3,2
Rap2b,1
Mrpl3,2
Blvrb,1
Arid1a,5
0610040J01Rik,6
Pcbp4,2
Sirpa,6
Nupr1,1
Rpl18,2
Taok2,5
Cyb561a3,5
Atp6v1a,1
Dctn3,2
Mrpl18,2
Rpl14,2
Anxa6,4
Zscan26,7
Qk,5
Vash1,6
Lpin1,7
Rgl3,6
Sema4c,5
Thoc3,3
Gypc,1
Gadd45g,7
Ptpn18,2
Fhod1,6
Gm5506,2
Pdia6,2
Tipin,2
Ptma,3
Chn2,7
Zfp385a,7
Syce2,2
Dhx9,3
Sdhd,2
Naglu,5
Smox,6
Gsto1,2
Kif4,3
Itpa,2
Elof1,2
Abhd12,6
Cdc6,2
St13,2
Mapkapk2,1
Ggt5,6
Uqcrfs1,2
Dtymk,2
Pdcd6,2
Lgmn,5
Bzw2,2
Rplp0,2
Prpf39,2
Sh2d3c,5
Myeov2,2
Rpl32,2
Fgd2,6
Ncoa4,1
Dph3,2
Carhsp1,1
Ncl,2
Arhgap27,6
Ethe1,2
Ncbp2,2
Hgsnat,1
Stip1,3
1810009A15Rik,2
Pttg1ip,7
Sfxn1,3
Phf1,6
Arsg,7
Fignl1,3
Plcl2,6
Bag1,3
Bzw1,2
Rbmxl1,2
Sdhc,1
Ndufs6,2
Slc16a3,4
Gng5,2
Slc1a5,3
Kctd13,5
Fam110a,5
Rhoh,7
Ets1,7
Psme3,4
Hs6st1,6
Golga7,4
Ubash3b,7
Pald1,6
Gabarap,1
Notch2,7
H2afy,2
Arhgdib,2
Klf10,4
Trim28,4
Rbfa,1
Cmah,2
Mtdh,5
Srd5a3,5
Setd8,2
Gar1,2
Ict1,2
Smpd5,6
Hist1h2be,7
Actn1,3
Ssh2,6
Lsp1,3
Nuf2,3
